Framework,Learning,Dataset,Accuracy
scDLC,Deep Learning,dataset_A,0.6962257657450958
scCDCG,Deep Learning,dataset_A,0.7058621085235747
scSMD,Deep Learning,dataset_A,0.7023058391648503
ACTINN,Deep Learning,dataset_A,0.7296088103705404
scDLC,Deep Learning,dataset_B,0.9823529411764704
scCDCG,Deep Learning,dataset_B,0.976470588235294
scSMD,Deep Learning,dataset_B,0.9941176470588236
ACTINN,Deep Learning,dataset_B,0.8
scDLC,Deep Learning,dataset_C,0.9777777777777776
scCDCG,Deep Learning,dataset_C,0.9666666666666668
scSMD,Deep Learning,dataset_C,0.9777777777777776
ACTINN,Deep Learning,dataset_C,0.8111111111111111
scDLC,Deep Learning,dataset_D,0.94215283483977
scCDCG,Deep Learning,dataset_D,0.9418241577649958
scSMD,Deep Learning,dataset_D,0.9382087099424816
ACTINN,Deep Learning,dataset_D,0.913722267871816
scDLC,Federated Learning,dataset_A,0.733738671561317
scCDCG,Federated Learning,dataset_A,0.7385568429505563
scSMD,Federated Learning,dataset_A,0.7455546633015946
ACTINN,Federated Learning,dataset_A,0.6626132843868303
scDLC,Federated Learning,dataset_B,0.8647058823529412
scCDCG,Federated Learning,dataset_B,0.9529411764705882
scSMD,Federated Learning,dataset_B,0.7705882352941177
ACTINN,Federated Learning,dataset_B,0.7411764705882353
scDLC,Federated Learning,dataset_C,0.9703703703703704
scCDCG,Federated Learning,dataset_C,0.974074074074074
scSMD,Federated Learning,dataset_C,0.9814814814814816
ACTINN,Federated Learning,dataset_C,0.5370370370370371
scDLC,Federated Learning,dataset_D,0.904847986852917
scCDCG,Federated Learning,dataset_D,0.9365653245686112
scSMD,Federated Learning,dataset_D,0.9152013147082992
ACTINN,Federated Learning,dataset_D,0.9071487263763351
