Method,Accuracy,Dataset,Framework
Baseline,0.733738671561317,dataset_A,scDLC
SmallBatch,0.7311001491338763,dataset_A,scDLC
MixedPrecision,0.7389009980497878,dataset_A,scDLC
ReduceComplexity,0.7408512102787657,dataset_A,scDLC
Baseline,0.7385568429505563,dataset_A,scCDCG
SmallBatch,0.7341975450269588,dataset_A,scCDCG
MixedPrecision,0.7423425490421016,dataset_A,scCDCG
ReduceComplexity,0.7339681082941379,dataset_A,scCDCG
Baseline,0.7455546633015946,dataset_A,scSMD
SmallBatch,0.7345417001261902,dataset_A,scSMD
MixedPrecision,0.7440633245382586,dataset_A,scSMD
ReduceComplexity,0.7409659286451761,dataset_A,scSMD
Baseline,0.6626132843868303,dataset_A,ACTINN
SmallBatch,0.7284616267064357,dataset_A,ACTINN
MixedPrecision,0.6615808190891361,dataset_A,ACTINN
ReduceComplexity,0.5909143053802914,dataset_A,ACTINN
Baseline,0.8647058823529412,dataset_B,scDLC
SmallBatch,0.8705882352941177,dataset_B,scDLC
MixedPrecision,0.7764705882352941,dataset_B,scDLC
ReduceComplexity,0.9294117647058824,dataset_B,scDLC
Baseline,0.9529411764705882,dataset_B,scCDCG
SmallBatch,0.7705882352941177,dataset_B,scCDCG
MixedPrecision,0.9588235294117649,dataset_B,scCDCG
ReduceComplexity,0.888235294117647,dataset_B,scCDCG
Baseline,0.7705882352941177,dataset_B,scSMD
SmallBatch,0.8823529411764706,dataset_B,scSMD
MixedPrecision,0.7294117647058823,dataset_B,scSMD
ReduceComplexity,0.888235294117647,dataset_B,scSMD
Baseline,0.7411764705882353,dataset_B,ACTINN
SmallBatch,0.6941176470588235,dataset_B,ACTINN
MixedPrecision,0.2764705882352941,dataset_B,ACTINN
ReduceComplexity,0.611764705882353,dataset_B,ACTINN
Baseline,0.9703703703703704,dataset_C,scDLC
SmallBatch,0.974074074074074,dataset_C,scDLC
MixedPrecision,0.9777777777777776,dataset_C,scDLC
ReduceComplexity,0.974074074074074,dataset_C,scDLC
Baseline,0.974074074074074,dataset_C,scCDCG
SmallBatch,0.974074074074074,dataset_C,scCDCG
MixedPrecision,0.9777777777777776,dataset_C,scCDCG
ReduceComplexity,0.974074074074074,dataset_C,scCDCG
Baseline,0.9814814814814816,dataset_C,scSMD
SmallBatch,0.9814814814814816,dataset_C,scSMD
MixedPrecision,0.9814814814814816,dataset_C,scSMD
ReduceComplexity,0.9814814814814816,dataset_C,scSMD
Baseline,0.5370370370370371,dataset_C,ACTINN
SmallBatch,0.8333333333333334,dataset_C,ACTINN
MixedPrecision,0.074074074074074,dataset_C,ACTINN
ReduceComplexity,0.2185185185185185,dataset_C,ACTINN
Baseline,0.904847986852917,dataset_D,scDLC
SmallBatch,0.9387017255546426,dataset_D,scDLC
MixedPrecision,0.9152013147082992,dataset_D,scDLC
ReduceComplexity,0.914215283483977,dataset_D,scDLC
Baseline,0.9365653245686112,dataset_D,scCDCG
SmallBatch,0.9408381265406738,dataset_D,scCDCG
MixedPrecision,0.9368940016433852,dataset_D,scCDCG
ReduceComplexity,0.9372226787181596,dataset_D,scCDCG
Baseline,0.9152013147082992,dataset_D,scSMD
SmallBatch,0.9365653245686112,dataset_D,scSMD
MixedPrecision,0.933607230895645,dataset_D,scSMD
ReduceComplexity,0.9199671322925226,dataset_D,scSMD
Baseline,0.9071487263763351,dataset_D,ACTINN
SmallBatch,0.9290057518488084,dataset_D,ACTINN
MixedPrecision,0.9152013147082992,dataset_D,ACTINN
ReduceComplexity,0.9084634346754312,dataset_D,ACTINN
