Method,Accuracy,Dataset,Framework,Normalized_Accuracy
Baseline,0.733738671561317,dataset_A,scDLC,0.9235905044510387
SmallBatch,0.7311001491338763,dataset_A,scDLC,0.9065281899109792
MixedPrecision,0.7389009980497878,dataset_A,scDLC,0.9569732937685462
ReduceComplexity,0.7408512102787657,dataset_A,scDLC,0.9695845697329378
Baseline,0.7385568429505563,dataset_A,scCDCG,0.9547477744807119
SmallBatch,0.7341975450269588,dataset_A,scCDCG,0.9265578635014834
MixedPrecision,0.7423425490421016,dataset_A,scCDCG,0.9792284866468841
ReduceComplexity,0.7339681082941379,dataset_A,scCDCG,0.9250741839762614
Baseline,0.7455546633015946,dataset_A,scSMD,1.0
SmallBatch,0.7345417001261902,dataset_A,scSMD,0.9287833827893177
MixedPrecision,0.7440633245382586,dataset_A,scSMD,0.9903560830860537
ReduceComplexity,0.7409659286451761,dataset_A,scSMD,0.9703264094955488
Baseline,0.6626132843868303,dataset_A,ACTINN,0.4636498516320472
SmallBatch,0.7284616267064357,dataset_A,ACTINN,0.8894658753709196
MixedPrecision,0.6615808190891361,dataset_A,ACTINN,0.4569732937685455
ReduceComplexity,0.5909143053802914,dataset_A,ACTINN,0.0
Baseline,0.8647058823529412,dataset_B,scDLC,0.8620689655172412
SmallBatch,0.8705882352941177,dataset_B,scDLC,0.8706896551724137
MixedPrecision,0.7764705882352941,dataset_B,scDLC,0.7327586206896549
ReduceComplexity,0.9294117647058824,dataset_B,scDLC,0.9568965517241378
Baseline,0.9529411764705882,dataset_B,scCDCG,0.9913793103448273
SmallBatch,0.7705882352941177,dataset_B,scCDCG,0.7241379310344827
MixedPrecision,0.9588235294117649,dataset_B,scCDCG,1.0
ReduceComplexity,0.888235294117647,dataset_B,scCDCG,0.8965517241379308
Baseline,0.7705882352941177,dataset_B,scSMD,0.7241379310344827
SmallBatch,0.8823529411764706,dataset_B,scSMD,0.8879310344827585
MixedPrecision,0.7294117647058823,dataset_B,scSMD,0.6637931034482756
ReduceComplexity,0.888235294117647,dataset_B,scSMD,0.8965517241379308
Baseline,0.7411764705882353,dataset_B,ACTINN,0.6810344827586206
SmallBatch,0.6941176470588235,dataset_B,ACTINN,0.6120689655172412
MixedPrecision,0.2764705882352941,dataset_B,ACTINN,0.0
ReduceComplexity,0.611764705882353,dataset_B,ACTINN,0.4913793103448275
Baseline,0.9703703703703704,dataset_C,scDLC,0.9877551020408163
SmallBatch,0.974074074074074,dataset_C,scDLC,0.9918367346938773
MixedPrecision,0.9777777777777776,dataset_C,scDLC,0.9959183673469385
ReduceComplexity,0.974074074074074,dataset_C,scDLC,0.9918367346938773
Baseline,0.974074074074074,dataset_C,scCDCG,0.9918367346938773
SmallBatch,0.974074074074074,dataset_C,scCDCG,0.9918367346938773
MixedPrecision,0.9777777777777776,dataset_C,scCDCG,0.9959183673469385
ReduceComplexity,0.974074074074074,dataset_C,scCDCG,0.9918367346938773
Baseline,0.9814814814814816,dataset_C,scSMD,1.0
SmallBatch,0.9814814814814816,dataset_C,scSMD,1.0
MixedPrecision,0.9814814814814816,dataset_C,scSMD,1.0
ReduceComplexity,0.9814814814814816,dataset_C,scSMD,1.0
Baseline,0.5370370370370371,dataset_C,ACTINN,0.5102040816326531
SmallBatch,0.8333333333333334,dataset_C,ACTINN,0.836734693877551
MixedPrecision,0.074074074074074,dataset_C,ACTINN,0.0
ReduceComplexity,0.2185185185185185,dataset_C,ACTINN,0.15918367346938775
Baseline,0.904847986852917,dataset_D,scDLC,0.0
SmallBatch,0.9387017255546426,dataset_D,scDLC,0.9406392694063938
MixedPrecision,0.9152013147082992,dataset_D,scDLC,0.2876712328767164
ReduceComplexity,0.914215283483977,dataset_D,scDLC,0.2602739726027389
Baseline,0.9365653245686112,dataset_D,scCDCG,0.8812785388127814
SmallBatch,0.9408381265406738,dataset_D,scCDCG,1.0
MixedPrecision,0.9368940016433852,dataset_D,scCDCG,0.8904109589041053
ReduceComplexity,0.9372226787181596,dataset_D,scCDCG,0.8995433789954382
Baseline,0.9152013147082992,dataset_D,scSMD,0.2876712328767164
SmallBatch,0.9365653245686112,dataset_D,scSMD,0.8812785388127814
MixedPrecision,0.933607230895645,dataset_D,scSMD,0.7990867579908673
ReduceComplexity,0.9199671322925226,dataset_D,scSMD,0.42009132420091294
Baseline,0.9071487263763351,dataset_D,ACTINN,0.06392694063926654
SmallBatch,0.9290057518488084,dataset_D,ACTINN,0.671232876712325
MixedPrecision,0.9152013147082992,dataset_D,ACTINN,0.2876712328767164
ReduceComplexity,0.9084634346754312,dataset_D,ACTINN,0.10045662100456172
