Method,F1,Dataset,Framework
Baseline,0.7305441042042986,dataset_A,scDLC
SmallBatch,0.7282334534835376,dataset_A,scDLC
MixedPrecision,0.7354312037999872,dataset_A,scDLC
ReduceComplexity,0.7343833751425008,dataset_A,scDLC
Baseline,0.7331200741559603,dataset_A,scCDCG
SmallBatch,0.7283562447163201,dataset_A,scCDCG
MixedPrecision,0.7364991014739546,dataset_A,scCDCG
ReduceComplexity,0.7278259359020451,dataset_A,scCDCG
Baseline,0.7395579463707769,dataset_A,scSMD
SmallBatch,0.7309525738166385,dataset_A,scSMD
MixedPrecision,0.7388213761114445,dataset_A,scSMD
ReduceComplexity,0.7344843848755314,dataset_A,scSMD
Baseline,0.6135674770720142,dataset_A,ACTINN
SmallBatch,0.7095999096728223,dataset_A,ACTINN
MixedPrecision,0.6067156378052904,dataset_A,ACTINN
ReduceComplexity,0.5262305363536158,dataset_A,ACTINN
Baseline,0.8608530717077502,dataset_B,scDLC
SmallBatch,0.8643529411764705,dataset_B,scDLC
MixedPrecision,0.7610327239003709,dataset_B,scDLC
ReduceComplexity,0.9292202607448068,dataset_B,scDLC
Baseline,0.9529102070032016,dataset_B,scCDCG
SmallBatch,0.7456280976258214,dataset_B,scCDCG
MixedPrecision,0.9588327893039964,dataset_B,scCDCG
ReduceComplexity,0.8860633467873433,dataset_B,scCDCG
Baseline,0.7456280976258214,dataset_B,scSMD
SmallBatch,0.8792582718161783,dataset_B,scSMD
MixedPrecision,0.6906161270011819,dataset_B,scSMD
ReduceComplexity,0.8820755712567153,dataset_B,scSMD
Baseline,0.7209875169233211,dataset_B,ACTINN
SmallBatch,0.6738259690973163,dataset_B,ACTINN
MixedPrecision,0.1415126050420168,dataset_B,ACTINN
ReduceComplexity,0.5186039463856614,dataset_B,ACTINN
Baseline,0.9708148203377406,dataset_C,scDLC
SmallBatch,0.9746196096292304,dataset_C,scDLC
MixedPrecision,0.9777111184840388,dataset_C,scDLC
ReduceComplexity,0.974537487623626,dataset_C,scDLC
Baseline,0.974537487623626,dataset_C,scCDCG
SmallBatch,0.974537487623626,dataset_C,scCDCG
MixedPrecision,0.9783941848836906,dataset_C,scCDCG
ReduceComplexity,0.974537487623626,dataset_C,scCDCG
Baseline,0.9813466044327428,dataset_C,scSMD
SmallBatch,0.9813605554668088,dataset_C,scSMD
MixedPrecision,0.9813466044327428,dataset_C,scSMD
ReduceComplexity,0.9822175891164516,dataset_C,scSMD
Baseline,0.4534554329144973,dataset_C,ACTINN
SmallBatch,0.7961659603755434,dataset_C,ACTINN
MixedPrecision,0.0355363356470095,dataset_C,ACTINN
ReduceComplexity,0.204136722905826,dataset_C,ACTINN
Baseline,0.9001073725486896,dataset_D,scDLC
SmallBatch,0.9338071788296164,dataset_D,scDLC
MixedPrecision,0.9062261894058008,dataset_D,scDLC
ReduceComplexity,0.9020736485550008,dataset_D,scDLC
Baseline,0.932750064281332,dataset_D,scCDCG
SmallBatch,0.9370934129553206,dataset_D,scCDCG
MixedPrecision,0.9334208949266896,dataset_D,scCDCG
ReduceComplexity,0.9335021512621614,dataset_D,scCDCG
Baseline,0.909851168744902,dataset_D,scSMD
SmallBatch,0.9328223628992208,dataset_D,scSMD
MixedPrecision,0.9285794973950484,dataset_D,scSMD
ReduceComplexity,0.9144290656901184,dataset_D,scSMD
Baseline,0.8952167552269262,dataset_D,ACTINN
SmallBatch,0.9213627916791912,dataset_D,ACTINN
MixedPrecision,0.9032898630160134,dataset_D,ACTINN
ReduceComplexity,0.8924380633620357,dataset_D,ACTINN
