Method,Client,Epoch,Accuracy,F1 Score
Baseline,B,1,0.9148148148148147,0.90255389350266
Baseline,B,2,0.9481481481481482,0.9395234137085812
Baseline,B,3,0.9555555555555556,0.9533847317900191
Baseline,B,4,0.9703703703703704,0.9704418440146833
Baseline,B,5,0.9703703703703704,0.9704418440146833
Baseline,B,6,0.9666666666666668,0.9670338801200188
Baseline,B,7,0.9666666666666668,0.9666488750541624
Baseline,B,8,0.9703703703703704,0.9703562665458534
Baseline,B,9,0.9703703703703704,0.9708334159310776
Baseline,B,10,0.9666666666666668,0.9668459305025908
Baseline with FineTune,B,1,0.9888888888888888,0.9889176678088674
SmallBatch,B,1,0.9555555555555556,0.9547685697080532
SmallBatch,B,2,0.9666666666666668,0.966128367992599
SmallBatch,B,3,0.9666666666666668,0.9664183824936516
SmallBatch,B,4,0.9703703703703704,0.9704377601905654
SmallBatch,B,5,0.9703703703703704,0.9704377601905654
SmallBatch,B,6,0.9703703703703704,0.9704377601905654
SmallBatch,B,7,0.9666666666666668,0.9670338801200188
SmallBatch,B,8,0.9666666666666668,0.9660326949002032
SmallBatch,B,9,0.974074074074074,0.9742372960016246
SmallBatch,B,10,0.9703703703703704,0.9708334159310776
SmallBatch with FineTune,B,1,0.9777777777777776,0.9777777026005416
MixedPrecision,B,1,0.9629629629629628,0.962676084249366
MixedPrecision,B,2,0.9629629629629628,0.9629510739504472
MixedPrecision,B,3,0.974074074074074,0.9741546291487296
MixedPrecision,B,4,0.9629629629629628,0.962676084249366
MixedPrecision,B,5,0.9629629629629628,0.962676084249366
MixedPrecision,B,6,0.9629629629629628,0.962676084249366
MixedPrecision,B,7,0.9629629629629628,0.962676084249366
MixedPrecision,B,8,0.9666666666666668,0.9661045675760916
MixedPrecision,B,9,0.9703703703703704,0.969896266660595
MixedPrecision,B,10,0.974074074074074,0.97385829859861
MixedPrecision with FineTune,B,1,0.974074074074074,0.9736226865095496
MixedPrecision with FineTune,B,2,0.9703703703703704,0.9703733322795046
MixedPrecision with FineTune,B,3,0.9703703703703704,0.9708334159310776
MixedPrecision with FineTune,B,4,0.974074074074074,0.9740759309552216
MixedPrecision with FineTune,B,5,0.9703703703703704,0.9702711416637316
MixedPrecision with FineTune,B,6,0.974074074074074,0.97420363865036
MixedPrecision with FineTune,B,7,0.974074074074074,0.9738000554369184
MixedPrecision with FineTune,B,8,0.974074074074074,0.9738646160905394
MixedPrecision with FineTune,B,9,0.9814814814814816,0.9815141038266776
ReduceComplexity,B,1,0.9148148148148147,0.899671647541515
ReduceComplexity,B,2,0.9666666666666668,0.9661938308705612
ReduceComplexity,B,3,0.9666666666666668,0.9664227977978984
ReduceComplexity,B,4,0.9666666666666668,0.9666488750541624
ReduceComplexity,B,5,0.9629629629629628,0.9630203593203835
ReduceComplexity,B,6,0.9666666666666668,0.9666488750541624
ReduceComplexity,B,7,0.9666666666666668,0.9666488750541624
ReduceComplexity,B,8,0.9666666666666668,0.9666488750541624
ReduceComplexity,B,9,0.9666666666666668,0.9664103832465216
ReduceComplexity,B,10,0.974074074074074,0.97404108428059
ReduceComplexity with FineTune,B,1,0.974074074074074,0.974704987017561
ReduceComplexity with FineTune,B,2,0.9703703703703704,0.9708033960429018
ReduceComplexity with FineTune,B,3,0.9666666666666668,0.967651164070636
ReduceComplexity with FineTune,B,4,0.9666666666666668,0.9670554992814224
ReduceComplexity with FineTune,B,5,0.9703703703703704,0.9708602885729124
ReduceComplexity with FineTune,B,6,0.9666666666666668,0.9670554992814224
ReduceComplexity with FineTune,B,7,0.9666666666666668,0.9670554992814224
ReduceComplexity with FineTune,B,8,0.9666666666666668,0.9670554992814224
ReduceComplexity with FineTune,B,9,0.9703703703703704,0.9703964813005947
ReduceComplexity with FineTune,B,10,0.9666666666666668,0.9670554992814224
