Method,Global_Round,Test_Accuracy,Test_Loss
Baseline,1,0.8629629629629629,0.6842344568835365
Baseline,2,0.9629629629629629,0.39351604878902435
Baseline,3,0.9666666666666667,0.2904266371495194
Baseline,4,0.9703703703703703,0.2123536980814404
Baseline,5,0.9703703703703703,0.1819907655266838
SmallBatch,1,0.9148148148148149,0.6328797472847832
SmallBatch,2,0.9555555555555556,0.324102489484681
SmallBatch,3,0.9629629629629629,0.24352489411830902
SmallBatch,4,0.9703703703703703,0.24861334295322499
SmallBatch,5,0.9740740740740741,0.18072550376463267
MixedPrecision,1,0.7777777777777778,0.7548582918114133
MixedPrecision,2,0.9666666666666667,0.44689016540845233
MixedPrecision,3,0.9666666666666667,0.29855355247855186
MixedPrecision,4,0.9777777777777777,0.24607874184019035
MixedPrecision,5,0.9777777777777777,0.23382477555423975
ReduceComplexity,1,0.9592592592592593,0.3872436227069961
ReduceComplexity,2,0.9703703703703703,0.20284975040704012
ReduceComplexity,3,0.9740740740740741,0.18249919141332308
ReduceComplexity,4,0.9740740740740741,0.1534301731735468
ReduceComplexity,5,0.9740740740740741,0.1895196226800585
