Method,Client,Epoch,Test_Accuracy,F1_Score
Baseline,A,1,0.8364831552999178,0.813866409725892
Baseline,A,2,0.90468364831553,0.8935099290683332
Baseline,A,3,0.9191454396055876,0.9103423437511798
Baseline,A,4,0.923911257189811,0.916236853871446
Baseline,A,5,0.9260476581758422,0.9182049558307098
Baseline,A,6,0.9217748562037796,0.9137817522633696
Baseline,A,7,0.9280197206244865,0.9204033534983164
Baseline,A,8,0.922760887428102,0.9145310407507838
Baseline,A,9,0.9268693508627772,0.9192911939108732
Baseline,A,10,0.9257189811010682,0.918263547968787
Baseline with FineTune,A,1,0.9202958093672966,0.9122612594389258
Baseline with FineTune,A,2,0.923582580115037,0.9158618803522016
Baseline with FineTune,A,3,0.9275267050123254,0.9199516546947712
Baseline with FineTune,A,4,0.9216105176663928,0.914140790344425
Baseline with FineTune,A,5,0.9313064913722268,0.9237509313251948
SmallBatch,A,1,0.8110106820049302,0.7785553411479602
SmallBatch,A,2,0.9002465078060805,0.888878543909569
SmallBatch,A,3,0.91405094494659,0.9041441313902135
SmallBatch,A,4,0.9181594083812654,0.9081898078798636
SmallBatch,A,5,0.9217748562037796,0.9120129817687748
SmallBatch,A,6,0.9221035332785538,0.9121971098488902
SmallBatch,A,7,0.9221035332785538,0.9123305165415706
SmallBatch,A,8,0.9221035332785538,0.9126947191088098
SmallBatch,A,9,0.9232539030402628,0.9148275862677566
SmallBatch,A,10,0.9263763352506162,0.9195432963455612
SmallBatch with FineTune,A,1,0.9396877567789648,0.9338039991832462
MixedPrecision,A,1,0.8205423171733771,0.7820932662132646
MixedPrecision,A,2,0.8903861955628595,0.8757171562424074
MixedPrecision,A,3,0.9152013147082992,0.9018100888192664
MixedPrecision,A,4,0.9073130649137224,0.898135772515761
MixedPrecision,A,5,0.9092851273623664,0.9010167676377878
MixedPrecision,A,6,0.923089564502876,0.9159993129765054
MixedPrecision,A,7,0.9207888249794576,0.9141601968193616
MixedPrecision,A,8,0.9263763352506162,0.9191613664387538
MixedPrecision,A,9,0.9278553820870994,0.9210918694495416
MixedPrecision,A,10,0.9255546425636813,0.9199442751474374
MixedPrecision with FineTune,A,1,0.8931799506984388,0.876118796041845
MixedPrecision with FineTune,A,2,0.9138866064092028,0.9000655919863423
MixedPrecision with FineTune,A,3,0.9209531635168448,0.9110808109047124
MixedPrecision with FineTune,A,4,0.924075595727198,0.9162096697912144
MixedPrecision with FineTune,A,5,0.9248972884141332,0.9168871750938056
MixedPrecision with FineTune,A,6,0.9270336894001644,0.9195029468218568
MixedPrecision with FineTune,A,7,0.9270336894001644,0.9201352349006102
MixedPrecision with FineTune,A,8,0.9273623664749384,0.9196924130147702
MixedPrecision with FineTune,A,9,0.9260476581758422,0.9194867653933272
MixedPrecision with FineTune,A,10,0.924732949876746,0.917908966992268
ReduceComplexity,A,1,0.7766639276910435,0.7321185601749018
ReduceComplexity,A,2,0.8770747740345111,0.8597624327064219
ReduceComplexity,A,3,0.8940016433853739,0.8769959576885789
ReduceComplexity,A,4,0.9022185702547248,0.8856234162639184
ReduceComplexity,A,5,0.903368940016434,0.8868924380723803
ReduceComplexity,A,6,0.90468364831553,0.888390384442753
ReduceComplexity,A,7,0.9082990961380444,0.8933678263497534
ReduceComplexity,A,8,0.9076417419884965,0.8918970695508647
ReduceComplexity,A,9,0.9087921117502056,0.8949698780352091
ReduceComplexity,A,10,0.9086277732128184,0.8939433610030085
ReduceComplexity with FineTune,A,1,0.9196384552177486,0.9108190080299964
